tier,covariate,level,n_patients,n_detected,prevalence,ci_lo,ci_hi
Looser,Overall,All patients,97,16,0.16494845360824742,0.10415923898131366,0.2512646039484451
Primary,Overall,All patients,97,16,0.16494845360824742,0.10415923898131366,0.2512646039484451
Tighter,Overall,All patients,97,15,0.15463917525773196,0.09601122102239844,0.23957950938212208
Looser,HIV,HIV-,85,14,0.16470588235294117,0.10072462065396522,0.2576830331978105
Primary,HIV,HIV-,85,14,0.16470588235294117,0.10072462065396522,0.2576830331978105
Tighter,HIV,HIV-,85,13,0.15294117647058825,0.09161380494530422,0.24428183676091977
Looser,HIV,HIV+,12,2,0.16666666666666666,0.046965142183853836,0.44803086225297334
Primary,HIV,HIV+,12,2,0.16666666666666666,0.046965142183853836,0.44803086225297334
Tighter,HIV,HIV+,12,2,0.16666666666666666,0.046965142183853836,0.44803086225297334
Looser,Sex,Female,26,5,0.19230769230769232,0.08507061148942413,0.3787625711931699
Primary,Sex,Female,26,5,0.19230769230769232,0.08507061148942413,0.3787625711931699
Tighter,Sex,Female,26,5,0.19230769230769232,0.08507061148942413,0.3787625711931699
Looser,Sex,Male,71,11,0.15492957746478872,0.0887730427016977,0.2565096285327758
Primary,Sex,Male,71,11,0.15492957746478872,0.0887730427016977,0.2565096285327758
Tighter,Sex,Male,71,10,0.14084507042253522,0.07834202212357169,0.240217492834758
Looser,age_band,<25,12,1,0.08333333333333333,0.01486509440491715,0.35387991114111683
Primary,age_band,<25,12,1,0.08333333333333333,0.01486509440491715,0.35387991114111683
Tighter,age_band,<25,12,1,0.08333333333333333,0.01486509440491715,0.35387991114111683
Looser,age_band,>=25,85,15,0.17647058823529413,0.10996363561495574,0.2709560303823717
Primary,age_band,>=25,85,15,0.17647058823529413,0.10996363561495574,0.2709560303823717
Tighter,age_band,>=25,85,14,0.16470588235294117,0.10072462065396522,0.2576830331978105
Looser,Fever,No,64,12,0.1875,0.11064643172948804,0.2997436056410152
Primary,Fever,No,64,12,0.1875,0.11064643172948804,0.2997436056410152
Tighter,Fever,No,64,11,0.171875,0.09877742301244644,0.28213211622658196
Looser,Fever,Yes,33,4,0.12121212121212122,0.048161613094135594,0.2732550517107523
Primary,Fever,Yes,33,4,0.12121212121212122,0.048161613094135594,0.2732550517107523
Tighter,Fever,Yes,33,4,0.12121212121212122,0.048161613094135594,0.2732550517107523
Looser,Hemoptysis,No,71,12,0.16901408450704225,0.09941454752428262,0.27259127998633487
Primary,Hemoptysis,No,71,12,0.16901408450704225,0.09941454752428262,0.27259127998633487
Tighter,Hemoptysis,No,71,11,0.15492957746478872,0.0887730427016977,0.2565096285327758
Looser,Hemoptysis,Yes,26,4,0.15384615384615385,0.061500337235783575,0.33531199328213473
Primary,Hemoptysis,Yes,26,4,0.15384615384615385,0.061500337235783575,0.33531199328213473
Tighter,Hemoptysis,Yes,26,4,0.15384615384615385,0.061500337235783575,0.33531199328213473
Looser,lineage,L_non_L4,21,6,0.2857142857142857,0.13813862952122136,0.4995638071608559
Primary,lineage,L_non_L4,21,6,0.2857142857142857,0.13813862952122136,0.4995638071608559
Tighter,lineage,L_non_L4,21,6,0.2857142857142857,0.13813862952122136,0.4995638071608559
Looser,lineage,L4,76,10,0.13157894736842105,0.07306881567918963,0.22554119436880624
Primary,lineage,L4,76,10,0.13157894736842105,0.07306881567918963,0.22554119436880624
Tighter,lineage,L4,76,9,0.11842105263157894,0.06356819004179069,0.20999217750791938
