covariate,level,n_patients,n_detected_Looser,n_detected_Primary,n_detected_Tighter,prev_with_ci_Looser,prev_with_ci_Primary,prev_with_ci_Tighter
Fever,No,64,12,12,11,"18.8 (11.1, 30.0)","18.8 (11.1, 30.0)","17.2 (9.9, 28.2)"
Fever,Yes,33,4,4,4,"12.1 (4.8, 27.3)","12.1 (4.8, 27.3)","12.1 (4.8, 27.3)"
HIV,HIV+,12,2,2,2,"16.7 (4.7, 44.8)","16.7 (4.7, 44.8)","16.7 (4.7, 44.8)"
HIV,HIV-,85,14,14,13,"16.5 (10.1, 25.8)","16.5 (10.1, 25.8)","15.3 (9.2, 24.4)"
Hemoptysis,No,71,12,12,11,"16.9 (9.9, 27.3)","16.9 (9.9, 27.3)","15.5 (8.9, 25.7)"
Hemoptysis,Yes,26,4,4,4,"15.4 (6.2, 33.5)","15.4 (6.2, 33.5)","15.4 (6.2, 33.5)"
Overall,All patients,97,16,16,15,"16.5 (10.4, 25.1)","16.5 (10.4, 25.1)","15.5 (9.6, 24.0)"
Sex,Female,26,5,5,5,"19.2 (8.5, 37.9)","19.2 (8.5, 37.9)","19.2 (8.5, 37.9)"
Sex,Male,71,11,11,10,"15.5 (8.9, 25.7)","15.5 (8.9, 25.7)","14.1 (7.8, 24.0)"
age_band,<25,12,1,1,1,"8.3 (1.5, 35.4)","8.3 (1.5, 35.4)","8.3 (1.5, 35.4)"
age_band,>=25,85,15,15,14,"17.6 (11.0, 27.1)","17.6 (11.0, 27.1)","16.5 (10.1, 25.8)"
lineage,L4,76,10,10,9,"13.2 (7.3, 22.6)","13.2 (7.3, 22.6)","11.8 (6.4, 21.0)"
lineage,L_non_L4,21,6,6,6,"28.6 (13.8, 50.0)","28.6 (13.8, 50.0)","28.6 (13.8, 50.0)"
